sku,estoque
13917,12.0000
14121,0.0000
14372,22.0000
18450,0.0000
20745,0.0000
20746,0.0000
21341,0.0000
21342,1.0000
21343,0.0000
21344,2.0000
21345,0.0000
21346,0.0000
21347,1.0000
21348,61.0000
21749,1.0000
22444,0.0000
22473,0.0000
22479,0.0000
22768,1.0000
22769,0.0000
22770,0.0000
22771,0.0000
22776,62.0000
22777,2.0000
22778,0.0000
22779,1.0000
22780,0.0000
22781,0.0000
22782,0.0000
22783,0.0000
22785,6.0000
22786,1.0000
22790,8.0000
22791,0.0000
22792,2.0000
22793,0.0000
23069,1.0000
23236,0.0000
23237,0.0000
23904,0.0000
24248,0.0000
24533,221.0000
24534,0.0000
25220,11.0000
25378,0.0000
25379,57.0000
25380,42.0000
25381,0.0000
25382,1.0000
25414,0.0000
25896,0.0000
26035,0.0000
26036,0.0000
26386,5.0000
26387,0.0000
26863,0.0000
26890,0.0000
26935,7.0000
26936,3.0000
26937,0.0000
26938,2.0000
26939,1.0000
26940,1.0000
26941,5.0000
26942,0.0000
27193,0.0000
27233,1.0000
27254,2.0000
27548,2.0000
27612,8.0000
27919,2.0000
28138,0.0000
28233,0.0000
28521,0.0000
28824,2.0000
28825,0.0000
28864,0.0000
28887,0.0000
29546,2.0000
29547,0.0000
29763,0.0000
30214,12.0000
30448,0.0000
30510,0.0000
30520,0.0000
30606,0.0000
30720,0.0000
31169,0.0000
31228,0.0000
31377,0.0000
31467,0.0000
31570,0.0000
